Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb,Date
Animal,Other Animal,Deer,PULLENVALE,2018-05-01
Animal,Attack,Menacing,MORNINGSIDE,2018-05-01
Animal,Cat,,JINDALEE,2018-05-01
Animal,Other Animal,Nuisance Animal,BANYO,2018-05-01
Animal,Dog,Fencing Issues,CARINA HEIGHTS,2018-05-01
Animal,Dog,Fencing Issues,ZILLMERE,2018-05-01
Animal,Attack,Attack On A Person,GREENSLOPES,2018-05-01
Animal,Dog,Odour,HOLLAND PARK,2018-05-01
Animal,Other Animal,Fox,ANSTEAD,2018-05-01
Animal,Cat,,ELLEN GROVE,2018-05-01
Animal,Other Animal,Fox,DEAGON,2018-05-01
Animal,Dog,Fencing Issues,ZILLMERE,2018-05-01
Animal,Cat,Wandering,SUNNYBANK HILLS,2018-05-01
Animal,Dog,Fencing Issues,UPPER MOUNT GRAVATT,2018-05-01
Animal,Dog,Unregistered,YERONGA,2018-05-01
Animal,Dog,Fencing Issues,YERONGA,2018-05-01
Animal,Attack,Menacing,TENNYSON,2018-05-01
Animal,Dog,Fencing Issues,EVERTON PARK,2018-05-01
Animal,Dog,Fencing Issues,EVERTON PARK,2018-05-01
Animal,Dog,,DARRA,2018-05-01
Animal,Dog,Fencing Issues,DARRA,2018-05-01
Animal,Attack,Attack On An Animal,GEEBUNG,2018-05-01
Animal,Cat Trapping,,ASCOT,2018-05-01
Animal,Other Animal,Nuisance Animal,CHAPEL HILL,2018-05-01
Animal,Cat,,FERNY GROVE,2018-05-01
Animal,Other Animal,Fox,WAKERLEY,2018-05-01
Animal,Dog,Fencing Issues,UPPER MOUNT GRAVATT,2018-05-01
Animal,Attack,Attack On An Animal,BRIGHTON,2018-05-01
Animal,Dog,Defecating In Public,BRACKEN RIDGE,2018-05-01
Animal,Dog,Fencing Issues,BRACKEN RIDGE,2018-05-01
Animal,Attack,Not An Attack,ELLEN GROVE,2018-05-01
Animal,Attack,Not An Attack,CAMP HILL,2018-05-01
Animal,Dog,Fencing Issues,MILTON,2018-05-01
Animal,Cat Trapping,,MOUNT GRAVATT,2018-05-01
Animal,Attack,Attack On An Animal,HAMILTON,2018-05-01
Animal,Dog,Fencing Issues,STAFFORD,2018-05-01
Animal,Dog,Fencing Issues,HOLLAND PARK,2018-05-01
Animal,Other Animal,Nuisance Animal,WYNNUM,2018-05-01
Animal,Attack,Attack On An Animal,KENMORE,2018-05-01
Animal,Attack,Attack On An Animal,ZILLMERE,2018-05-01
Animal,Dog,Unregistered,KURABY,2018-05-01
Animal,Attack,Attack On An Animal,RED HILL,2018-05-01
Animal,Dog,Defecating In Public,WYNNUM,2018-05-01
Animal,Other Animal,Nuisance Animal,FOREST LAKE,2018-05-01
Animal,Cat Trapping,,COOPERS PLAINS,2018-05-01
Animal,Attack,Attack On A Person,WISHART,2018-05-01
Animal,Dog,Fencing Issues,GAYTHORNE,2018-05-01
Animal,Attack,Not An Attack,INALA,2018-05-01
Animal,Dog,Fencing Issues,MOUNT GRAVATT EAST,2018-05-01
Animal,Dog,Fencing Issues,TARRAGINDI,2018-05-01
Animal,Attack,Not An Attack,STAFFORD HEIGHTS,2018-05-01
Animal,Other Animal,Fox,MOGGILL,2018-05-01
Animal,Cat,Wandering,GREENSLOPES,2018-05-01
Animal,Dog,Fencing Issues,RED HILL,2018-05-01
Animal,Cat Trapping,,BELLBOWRIE,2018-05-01
Animal,Attack,Attack On An Animal,RIVERHILLS,2018-05-01
Animal,Other Animal,Nuisance Animal,YERONGA,2018-05-01
Animal,Dog,Too Many Animals,ALGESTER,2018-05-01
Animal,Cat Trapping,,ZILLMERE,2018-05-01
Animal,Attack,Attack On An Animal,TARRAGINDI,2018-05-01
Animal,Dog,Fencing Issues,EVERTON PARK,2018-05-01
Animal,Attack,Menacing,MOUNT GRAVATT EAST,2018-05-01
Animal,Attack,Attack On An Animal,HENDRA,2018-05-01
Animal,Attack,Not An Attack,WEST END,2018-05-01
Animal,Attack,Attack On A Person,BRIDGEMAN DOWNS,2018-05-01
Animal,Other Animal,Fox,FOREST LAKE,2018-05-01
Animal,Dog,Fencing Issues,MANLY WEST,2018-05-01
Animal,Dog,Fencing Issues,CALAMVALE,2018-05-01
